Ticker	Report Date	Shares Outstanding	Act	Est	Surp
KMX US Equity	03/29/2019 (AM)	170480000	1.13	1.026	10.07%
ACN US Equity	03/28/2019 (AM)	638639729	1.73	1.573	10.01%
LEN US Equity	03/27/2019 (AM)	321349000	0.74	0.754	-1.87%
PAYX US Equity	03/27/2019 (AM)	361600000	0.89	0.882	0.87%
PVH US Equity	03/27/2019 (PM)	76100000	1.84	1.751	5.11%
CCL US Equity	03/26/2019 (AM)	695000000	0.49	0.438	11.81%
INFO US Equity	03/26/2019 (AM)	398000000	0.329	0.566	-41.81%
MKC US Equity	03/26/2019 (AM)	133800000	1.12	1.04	7.69%
TIF US Equity	03/22/2019 (AM)	122100000	1.675	1.601	4.61%
CAG US Equity	03/21/2019 (AM)	487400000	0.51	0.488	4.62%
CTAS US Equity	03/21/2019 (PM)	108162000	1.84	1.712	7.47%
DRI US Equity	03/21/2019 (AM)	125000000	1.8	1.746	3.07%
NKE US Equity	03/21/2019 (PM)	1609600000	0.684	0.647	5.79%
GIS US Equity	03/20/2019 (AM)	604500000	0.83	0.689	20.39%
MU US Equity	03/20/2019 (PM)	1141000000	1.531	1.654	-7.44%
FDX US Equity	03/19/2019 (PM)	263000000	3.03	3.117	-2.80%
ADBE US Equity	03/14/2019 (PM)	494188000	1.294	1.616	-19.93%
AVGO US Equity	03/14/2019 (PM)	419000000	5.55	5.231	6.10%
DG US Equity	03/14/2019 (AM)	262536000	1.84	1.883	-2.30%
ORCL US Equity	03/14/2019 (PM)	3617000000	0.767	0.841	-8.76%
ULTA US Equity	03/14/2019 (PM)	59431000	3.61	3.557	1.49%
COST US Equity	03/07/2019 (PM)	442337000	2.01	1.692	18.77%
KR US Equity	03/07/2019 (AM)	806000000	0.48	0.526	-8.81%
DLTR US Equity	03/06/2019 (AM)	238900000	1.93	1.94	-0.52%
COO US Equity	03/05/2019 (PM)	49900000	2.88	2.507	14.87%
KSS US Equity	03/05/2019 (AM)	163000000	2.24	2.181	2.70%
ROST US Equity	03/05/2019 (PM)	368365000	1.199	1.131	6.03%
TGT US Equity	03/05/2019 (AM)	524300000	1.53	1.527	0.23%
CRM US Equity	03/04/2019 (PM)	786000000	0.7	0.553	26.56%
XRAY US Equity	03/01/2019 (AM)	223500000	0.58	0.537	8.02%
ADSK US Equity	02/28/2019 (PM)	221300000	0.46	0.421	9.26%
CNP US Equity	02/28/2019 (AM)	504073000	0.36	0.343	4.93%
EIX US Equity	02/28/2019 (PM)	326000000	0.94	0.955	-1.53%
GPS US Equity	02/28/2019 (PM)	383000000	0.72	0.688	4.71%
JWN US Equity	02/28/2019 (PM)	167100000	1.484	1.417	4.76%
LKQ US Equity	02/28/2019 (AM)	318510000	0.48	0.494	-2.89%
MAR US Equity	02/28/2019 (PM)	345700000	1.44	1.4	2.82%
NLSN US Equity	02/28/2019 (AM)	355199432	0.51	0.488	4.56%
AES US Equity	02/27/2019 (AM)	653846200	0.36	0.325	10.77%
AMT US Equity	02/27/2019 (AM)	444304000	2.255	2.283	-1.20%
ANSS US Equity	02/27/2019 (PM)	85472000	2.13	1.485	43.43%
APA US Equity	02/27/2019 (AM)	379000000	0.31	0.237	30.72%
BBY US Equity	02/27/2019 (AM)	273400000	2.72	2.563	6.12%
BKNG US Equity	02/27/2019 (PM)	46589000	22.49	19.388	16.00%
CPB US Equity	02/27/2019 (AM)	301000000	0.77	0.709	8.57%
HPQ US Equity	02/27/2019 (PM)	1567000000	0.52	0.517	0.60%
LB US Equity	02/27/2019 (PM)	277935000	2.14	2.081	2.84%
LOW US Equity	02/27/2019 (AM)	801000000	0.8	0.789	1.37%
MNST US Equity	02/27/2019 (PM)	556666000	0.43	0.405	6.15%
PEG US Equity	02/27/2019 (AM)	508000000	0.56	0.558	0.30%
PRGO US Equity	02/27/2019 (AM)	134900000	0.97	0.995	-2.56%
TJX US Equity	02/27/2019 (AM)	1244708000	0.676	0.683	-0.94%
UHS US Equity	02/27/2019 (PM)	92706000	2.37	2.334	1.55%
AZO US Equity	02/26/2019 (AM)	25643000	11.49	10.062	14.20%
DISCA US Equity	02/26/2019 (AM)	715000000	0.74	0.821	-9.89%
EOG US Equity	02/26/2019 (PM)	580300000	1.24	1.349	-8.07%
HD US Equity	02/26/2019 (AM)	1121000000	2.265	2.163	4.70%
M US Equity	02/26/2019 (AM)	311900000	2.73	2.53	7.91%
MYL US Equity	02/26/2019 (AM)	516500000	1.3	1.349	-3.61%
PSA US Equity	02/26/2019 (PM)	174466000	2.81	2.778	1.16%
SJM US Equity	02/26/2019 (AM)	113200000	2.26	2.014	12.21%
MOS US Equity	02/25/2019 (PM)	387600000	0.77	0.571	34.95%
OKE US Equity	02/25/2019 (PM)	415142000	0.704	0.736	-4.35%
WAB US Equity	02/25/2019 (AM)	96674000	0.97	1.018	-4.75%
COG US Equity	02/22/2019 (AM)	430978000	0.55	0.58	-5.17%
PNW US Equity	02/22/2019 (AM)	112700000	0.23	0.175	31.14%
ED US Equity	02/21/2019 (PM)	315000000	0.77	0.75	2.67%
EVRG US Equity	02/21/2019 (PM)	269330000	0.069	0.255	-73.02%
HPE US Equity	02/21/2019 (PM)	1412000000	0.42	0.348	20.81%
HRL US Equity	02/21/2019 (AM)	547118000	0.441	0.443	-0.46%
INTU US Equity	02/21/2019 (PM)	264000000	1	0.864	15.76%
KEYS US Equity	02/21/2019 (PM)	190000000	0.93	0.804	15.63%
KHC US Equity	02/21/2019 (AM)	1220000000	0.84	0.939	-10.53%
LNT US Equity	02/21/2019 (PM)	236000000	0.36	0.356	1.20%
NCLH US Equity	02/21/2019 (AM)	221443295	0.85	0.794	6.99%
NEM US Equity	02/21/2019 (AM)	535000000	0.4	0.246	62.32%
PWR US Equity	02/21/2019 (AM)	150827000	0.96	0.886	8.35%
SBAC US Equity	02/21/2019 (PM)	115010000	1.961	1.973	-0.62%
TFX US Equity	02/21/2019 (AM)	46849000	2.77	2.758	0.42%
A US Equity	02/20/2019 (PM)	322000000	0.76	0.731	4.00%
ADI US Equity	02/20/2019 (AM)	372506000	1.33	1.282	3.75%
ALB US Equity	02/20/2019 (PM)	107005000	1.53	1.476	3.64%
CPRT US Equity	02/20/2019 (PM)	240660000	0.52	0.507	2.56%
CVS US Equity	02/20/2019 (AM)	1121000000	2.14	2.076	3.08%
EFX US Equity	02/20/2019 (PM)	121400000	1.38	1.321	4.44%
ES US Equity	02/20/2019 (PM)	318130237	0.727	0.755	-3.74%
EXR US Equity	02/20/2019 (PM)	133584084	1.22	1.202	1.47%
FLS US Equity	02/20/2019 (PM)	131413000	0.58	0.58	0.00%
GRMN US Equity	02/20/2019 (AM)	188878000	1.02	0.8	27.50%
HFC US Equity	02/20/2019 (AM)	174259000	2.25	2.01	11.94%
HSIC US Equity	02/20/2019 (AM)	152991000	1.12	1.109	0.96%
NI US Equity	02/20/2019 (AM)	369400000	0.38	0.36	5.56%
O US Equity	02/20/2019 (PM)	298609734	0.73	0.744	-1.93%
SNPS US Equity	02/20/2019 (PM)	152661000	1.08	0.966	11.83%
SO US Equity	02/20/2019 (AM)	1041000000	0.25	0.232	7.82%
XEC US Equity	02/20/2019 (PM)	93915000	1.98	1.784	10.99%
AAP US Equity	02/19/2019 (AM)	73254000	1.17	1.13	3.54%
ALLE US Equity	02/19/2019 (AM)	94900000	1.22	1.218	0.18%
AWK US Equity	02/19/2019 (PM)	181000000	0.69	0.686	0.53%
CDNS US Equity	02/19/2019 (PM)	280321000	0.52	0.473	9.97%
CXO US Equity	02/19/2019 (PM)	200397351	0.94	1.117	-15.87%
DVN US Equity	02/19/2019 (PM)	462000000	0.1	0.301	-66.77%
ECL US Equity	02/19/2019 (AM)	292200000	1.54	1.538	0.16%
EXPD US Equity	02/19/2019 (AM)	175935000	1.02	0.851	19.80%
FANG US Equity	02/19/2019 (PM)	122739000	1.21	1.581	-23.45%
FE US Equity	02/19/2019 (PM)	514000000	0.5	0.469	6.54%
GPC US Equity	02/19/2019 (AM)	147099000	1.35	1.315	2.66%
HST US Equity	02/19/2019 (PM)	741000000	0.43	0.415	3.70%
LDOS US Equity	02/19/2019 (AM)	150000000	1.1	1.07	2.80%
MDT US Equity	02/19/2019 (AM)	1342800000	1.29	1.236	4.35%
NBL US Equity	02/19/2019 (AM)	479000000	0.12	0.131	-8.64%
VRSK US Equity	02/19/2019 (PM)	167346841	1.04	1.068	-2.64%
WMT US Equity	02/19/2019 (AM)	2914000000	1.41	1.336	5.58%
DE US Equity	02/15/2019 (AM)	322700000	1.54	1.751	-12.06%
MCO US Equity	02/15/2019 (AM)	194000000	1.63	1.689	-3.51%
NWL US Equity	02/15/2019 (AM)	451800000	0.71	0.666	6.61%
PEP US Equity	02/15/2019 (AM)	1420000000	1.49	1.491	-0.04%
AEE US Equity	02/14/2019 (AM)	246800000	0.28	0.323	-13.18%
AMAT US Equity	02/14/2019 (PM)	965000000	0.81	0.788	2.84%
ANET US Equity	02/14/2019 (PM)	80928000	2.25	2.064	9.00%
BWA US Equity	02/14/2019 (AM)	208600000	1.21	1.072	12.87%
CME US Equity	02/14/2019 (AM)	352132000	1.77	1.733	2.14%
DGX US Equity	02/14/2019 (AM)	137000000	1.36	1.401	-2.89%
DUK US Equity	02/14/2019 (AM)	716000000	0.84	0.891	-5.68%
INCY US Equity	02/14/2019 (AM)	216042000	0.4	0.486	-17.67%
IQV US Equity	02/14/2019 (AM)	204100000	1.5	1.474	1.77%
IRM US Equity	02/14/2019 (AM)	287066000	0.56	0.522	7.35%
KO US Equity	02/14/2019 (AM)	4304000000	0.43	0.43	0.12%
NVDA US Equity	02/14/2019 (PM)	619000000	0.8	0.78	2.56%
PPL US Equity	02/14/2019 (AM)	727387000	0.52	0.488	6.48%
VMC US Equity	02/14/2019 (AM)	133369000	0.99	0.89	11.24%
WM US Equity	02/14/2019 (AM)	428500000	1.13	1.064	6.20%
ZTS US Equity	02/14/2019 (AM)	484479000	0.79	0.769	2.71%
CBRE US Equity	02/13/2019 (AM)	342683720	1.21	1.125	7.51%
CF US Equity	02/13/2019 (PM)	230600000	0.226	0.424	-46.67%
CSCO US Equity	02/13/2019 (PM)	4505000000	0.73	0.724	0.89%
CTL US Equity	02/13/2019 (PM)	1067234000	0.37	0.319	15.85%
DISH US Equity	02/13/2019 (PM)	528278075	0.638	0.665	-4.14%
DVA US Equity	02/13/2019 (PM)	166477914	0.9	0.895	0.51%
EQIX US Equity	02/13/2019 (PM)	80740000	4.122	3.979	3.60%
FLIR US Equity	02/13/2019 (AM)	138509000	0.62	0.597	3.91%
FRT US Equity	02/13/2019 (PM)	73796000	1.57	1.564	0.40%
GPN US Equity	02/13/2019 (AM)	158711000	1.33	1.322	0.64%
HLT US Equity	02/13/2019 (AM)	298000000	0.79	0.691	14.28%
IFF US Equity	02/13/2019 (PM)	112155000	1.22	1.266	-3.65%
IPG US Equity	02/13/2019 (AM)	390300000	0.89	0.791	12.52%
MGM US Equity	02/13/2019 (PM)	528922000	0.203	0.136	49.37%
MRO US Equity	02/13/2019 (PM)	829000000	0.15	0.147	2.27%
NTAP US Equity	02/13/2019 (PM)	255000000	1.2	1.148	4.57%
PXD US Equity	02/13/2019 (PM)	171000000	1.18	1.367	-13.71%
REG US Equity	02/13/2019 (AM)	169842000	0.98	0.946	3.61%
WMB US Equity	02/13/2019 (PM)	1210780000	0.2	0.239	-16.32%
AIZ US Equity	02/12/2019 (PM)	63232485	0.77	0.42	83.33%
AKAM US Equity	02/12/2019 (PM)	164540000	1.07	1.002	6.77%
ATVI US Equity	02/12/2019 (AM)	771000000	1.29	1.288	0.19%
FIS US Equity	02/12/2019 (AM)	329000000	1.6	1.584	1.04%
IPGP US Equity	02/12/2019 (AM)	54107000	1.397	1.405	-0.60%
MLM US Equity	02/12/2019 (AM)	62918000	1.606	1.741	-7.76%
OMC US Equity	02/12/2019 (AM)	225600000	1.77	1.664	6.36%
OXY US Equity	02/12/2019 (PM)	755400000	1.22	1.145	6.59%
TAP US Equity	02/12/2019 (AM)	216700000	0.84	0.791	6.14%
TRIP US Equity	02/12/2019 (PM)	141000000	0.27	0.283	-4.62%
UAA US Equity	02/12/2019 (AM)	452497000	0.09	0.042	115.66%
UDR US Equity	02/12/2019 (PM)	270755000	0.5	0.493	1.35%
WELL US Equity	02/12/2019 (PM)	380002000	1.01	1.025	-1.46%
FMC US Equity	02/11/2019 (PM)	135100000	1.69	1.481	14.14%
RE US Equity	02/11/2019 (PM)	40239368.42	-5.89	-5.618	-4.84%
VNO US Equity	02/11/2019 (PM)	191199000	1.1	1.116	-1.43%
ARNC US Equity	02/08/2019 (AM)	503018904	0.33	0.3	10.00%
CBOE US Equity	02/08/2019 (AM)	111600000	1.54	1.371	12.35%
COTY US Equity	02/08/2019 (AM)	751100000	0.24	0.221	8.74%
EXC US Equity	02/08/2019 (AM)	971000000	0.58	0.57	1.75%
HAS US Equity	02/08/2019 (AM)	127237000	1.33	1.705	-21.99%
PSX US Equity	02/08/2019 (AM)	464406000	4.87	3.007	61.97%
VTR US Equity	02/08/2019 (AM)	359989000	0.96	0.949	1.20%
ADS US Equity	02/07/2019 (AM)	54200000	7.04	6.936	1.50%
BR US Equity	02/07/2019 (AM)	119100000	0.56	0.71	-21.13%
CAH US Equity	02/07/2019 (AM)	300000000	1.29	1.094	17.88%
CDW US Equity	02/07/2019 (AM)	151900000	1.32	1.21	9.09%
DTE US Equity	02/07/2019 (AM)	181000000	0.91	0.933	-2.44%
DXC US Equity	02/07/2019 (PM)	278990000	2.23	2.049	8.84%
EXPE US Equity	02/07/2019 (PM)	151358000	1.24	1.062	16.80%
FISV US Equity	02/07/2019 (PM)	404700000	0.84	0.854	-1.65%
FTV US Equity	02/07/2019 (PM)	339300000	0.91	0.85	7.06%
HBI US Equity	02/07/2019 (AM)	364748000	0.48	0.465	3.30%
ICE US Equity	02/07/2019 (AM)	573000000	0.94	0.922	1.95%
K US Equity	02/07/2019 (AM)	348000000	0.91	0.883	3.02%
LH US Equity	02/07/2019 (AM)	101200000	2.52	2.521	-0.04%
MAC US Equity	02/07/2019 (AM)	141144000	1.09	1.098	-0.75%
MAS US Equity	02/07/2019 (AM)	299000000	0.64	0.558	14.72%
MPC US Equity	02/07/2019 (AM)	704000000	2.41	1.956	23.20%
MSI US Equity	02/07/2019 (PM)	173400000	2.63	2.539	3.58%
MTD US Equity	02/07/2019 (PM)	25490270	6.85	6.748	1.52%
NWSA US Equity	02/07/2019 (PM)	587100000	0.18	0.14	28.57%
PM US Equity	02/07/2019 (AM)	1555000000	1.25	1.164	7.37%
QRVO US Equity	02/07/2019 (PM)	126842000	1.85	1.691	9.38%
RSG US Equity	02/07/2019 (PM)	325500000	0.8	0.78	2.56%
SEE US Equity	02/07/2019 (AM)	156100000	0.75	0.671	11.82%
SNA US Equity	02/07/2019 (AM)	56600000	3.03	3.018	0.41%
SPGI US Equity	02/07/2019 (AM)	251500000	2.22	2.196	1.11%
TMUS US Equity	02/07/2019 (PM)	856344347	0.75	0.693	8.23%
TPR US Equity	02/07/2019 (AM)	291000000	1.07	1.111	-3.69%
TSN US Equity	02/07/2019 (AM)	366000000	1.58	1.56	1.28%
TWTR US Equity	02/07/2019 (AM)	776129000	0.31	0.252	23.18%
VRSN US Equity	02/07/2019 (PM)	121329000	1.58	1.21	30.58%
WLTW US Equity	02/07/2019 (AM)	130000000	4	4.055	-1.35%
YUM US Equity	02/07/2019 (AM)	320000000	0.4	0.946	-57.69%
BSX US Equity	02/06/2019 (AM)	1406200000	0.39	0.357	9.39%
CINF US Equity	02/06/2019 (PM)	162800000	0.98	0.872	12.43%
CMG US Equity	02/06/2019 (PM)	27946000	1.72	1.386	24.10%
CMI US Equity	02/06/2019 (AM)	159300000	3.48	3.807	-8.58%
CPRI US Equity	02/06/2019 (AM)	149183049	1.76	1.578	11.56%
CTSH US Equity	02/06/2019 (PM)	579000000	1.178	1.07	10.08%
FLT US Equity	02/06/2019 (PM)	90703000	2.78	2.718	2.29%
